"","rowname","superkingdom","phylum","class","order","family","genus","species"
"1","sp1645","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","Victivallis","Victivallis vadensis"
"2","sp1644","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","","","Victivallales bacterium CCUG 44730"
"3","sp1097","Bacteria","Lentisphaerae","Oligosphaeria","Oligosphaerales","Oligosphaeraceae","Oligosphaera","Oligosphaera ethanolica"
"4","sp374","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Cerasicoccus","Cerasicoccus arenae"
"5","sp376","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Cerasicoccus","Cerasicoccus maritimus"
"6","sp375","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Cerasicoccus","Cerasicoccus frondis"
"7","sp1183","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Pelagicoccus","Pelagicoccus mobilis"
"8","sp1182","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Pelagicoccus","Pelagicoccus litoralis"
"9","sp1181","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Pelagicoccus","Pelagicoccus croceus"
"10","sp1382","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Ruficoccus","Ruficoccus amylovorans"
"11","sp498","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Coraliomargarita","Coraliomargarita akajimensis"
"12","sp373","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Cephaloticoccus","Cephaloticoccus primus"
"13","sp372","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Cephaloticoccus","Cephaloticoccus capnophilus"
"14","sp915","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Lacunisphaera","Lacunisphaera limnophila"
"15","sp914","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Lacunisphaera","Lacunisphaera anatis"
"16","sp710","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Geminisphaera","Geminisphaera colitermitum"
"17","sp1071","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Nibricoccus","Nibricoccus aquaticus"
"18","sp1104","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus","Opitutus terrae"
"19","sp1004","Bacteria","Verrucomicrobia","Methylacidiphilae","Methylacidiphilales","Methylacidiphilaceae","Methylacidiphilum","Methylacidiphilum kamchatkense"
"20","sp55","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila"
"21","sp54","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia glycaniphila"
"22","sp683","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Fucophilus","Fucophilus fucoidanolyticus"
"23","sp1003","Bacteria","Verrucomicrobia","","","","Methylacidimicrobium","Methylacidimicrobium fagopyrum"
"24","sp799","Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae","Kiritimatiella","Kiritimatiella glycovorans"
"25","sp615","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Entomoplasma","Entomoplasma freundtii"
"26","sp618","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Entomoplasma","Entomoplasma melaleucae"
"27","sp616","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Entomoplasma","Entomoplasma lucivorax"
"28","sp617","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Entomoplasma","Entomoplasma luminosum"
"29","sp999","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Mesoplasma","Mesoplasma lactucae"
"30","sp998","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Mesoplasma","Mesoplasma corruscae"
"31","sp1463","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma citri"
"32","sp1458","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma apis"
"33","sp1464","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma clarkii"
"34","sp1472","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma mirum"
