"tax_id","emOTU"
713059,"sp339"
2572087,"sp340"
2572088,"sp341"
2572089,"sp1580"
118967,"sp142"
85831,"sp202"
47678,"sp203"
1462569,"sp204"
1411144,"sp205"
1796613,"sp206"
246787,"sp207"
626929,"sp208"
28111,"sp209"
871325,"sp210"
674529,"sp211"
338188,"sp212"
817,"sp213"
1462571,"sp214"
376806,"sp215"
477666,"sp216"
290053,"sp217"
28113,"sp218"
1852362,"sp219"
329854,"sp220"
1841856,"sp221"
291645,"sp222"
626931,"sp223"
28116,"sp224"
691816,"sp225"
291644,"sp226"
2528203,"sp227"
871324,"sp228"
46506,"sp229"
818,"sp230"
1470345,"sp231"
820,"sp232"
371601,"sp233"
1841865,"sp983"
487174,"sp236"
397865,"sp237"
1099853,"sp494"
1605892,"sp557"
45254,"sp558"
156974,"sp559"
637886,"sp560"
163665,"sp561"
294710,"sp1303"
1642647,"sp1304"
1678841,"sp923"
2576606,"sp555"
1796646,"sp1038"
2093856,"sp291"
1472416,"sp292"
1472417,"sp293"
1720203,"sp294"
544644,"sp295"
544645,"sp296"
1841857,"sp507"
626933,"sp1094"
28118,"sp1095"
681398,"sp1146"
185300,"sp1147"
1387297,"sp660"
1686296,"sp700"
1720195,"sp701"
879969,"sp952"
1350067,"sp1016"
501496,"sp1235"
36874,"sp1236"
41976,"sp1237"
29524,"sp1238"
28124,"sp1239"
837,"sp1240"
266762,"sp1241"
1884669,"sp1242"
1583331,"sp1243"
867595,"sp1244"
322095,"sp1245"
281920,"sp1246"
671218,"sp97"
2133944,"sp98"
76122,"sp99"
1841864,"sp974"
1816687,"sp981"
1870999,"sp1002"
454154,"sp1161"
454155,"sp1162"
77768,"sp1247"
419005,"sp1248"
596085,"sp1249"
305719,"sp1250"
28125,"sp1251"
83231,"sp1252"
77095,"sp1253"
28126,"sp1254"
28127,"sp1255"
1703337,"sp1256"
165179,"sp1257"
28128,"sp1258"
52227,"sp1259"
589537,"sp1260"
28129,"sp1261"
28130,"sp1262"
76123,"sp1263"
589436,"sp1264"
470565,"sp1265"
28131,"sp1266"
1177574,"sp1267"
2490854,"sp1268"
840,"sp1269"
439703,"sp1270"
189722,"sp1271"
28132,"sp1272"
189723,"sp1273"
282402,"sp1274"
310514,"sp1275"
425941,"sp1276"
28133,"sp1277"
28134,"sp1278"
28135,"sp1279"
185293,"sp1280"
28136,"sp1281"
60133,"sp1282"
185294,"sp1283"
